entry time,entry position x,entry position y,entry position z,exit position x,exit position y,exit position z
0.0000,-43.0000,125.5000,716.0000,0.0000,0.0000,0.0000
0.0000,-43.0000,125.5000,716.0000,0.0000,0.0000,0.0000
0.0000,-43.0000,125.5000,716.0000,0.0000,0.0000,0.0000
0.0000,-43.0000,125.5000,716.0000,0.0000,0.0000,0.0000
0.0000,-43.0000,125.5000,716.0000,0.0000,0.0000,0.0000
0.0000,-43.0000,125.5000,716.0000,0.0000,0.0000,0.0000
0.0000,-43.0000,125.5000,716.0000,0.0000,0.0000,0.0000
0.0000,-43.0000,125.5000,716.0000,0.0000,0.0000,0.0000
0.0000,-43.0000,125.5000,716.0000,0.0000,0.0000,0.0000
0.0000,-43.0000,125.5000,716.0000,165.7386,125.5833,667.8838
0.0000,-43.0000,125.5000,716.0000,-223.4058,125.5833,450.7709
0.0000,-43.0000,125.5000,716.0000,-244.6947,125.5833,612.5912
0.0000,-43.0000,125.5000,716.0000,-223.1259,125.5833,451.1512
0.0000,-43.0000,125.5000,716.0000,165.1900,125.5833,604.6263
0.0000,-43.0000,125.5000,716.0000,-240.4880,125.5833,562.9528
0.0000,-43.0000,125.5000,716.0000,161.8180,125.5833,668.8092
0.0000,-43.0000,125.5000,716.0000,150.8884,125.5833,451.6987
0.0000,-43.0000,125.5000,716.0000,-243.9214,125.5833,505.3435
0.0000,-43.0000,125.5000,716.0000,-221.2968,125.5833,454.3914
0.0000,-43.0000,125.5000,716.0000,-221.7556,125.5833,453.2545
0.0000,-43.0000,125.5000,716.0000,-221.5279,125.5833,453.6457
0.0000,-43.0000,125.5000,716.0000,137.9142,125.5833,452.8020
0.0000,-43.0000,125.5000,716.0000,164.3482,125.5833,668.1891
0.0000,-43.0000,125.5000,716.0000,161.3066,125.5833,668.8958
0.0000,-43.0000,125.5000,716.0000,165.3187,125.5833,524.3017
0.0000,-43.0000,125.5000,716.0000,150.7541,125.5833,452.0941
0.0000,-43.0000,125.5000,716.0000,-242.3473,125.5833,549.1303
0.0000,-43.0000,125.5000,716.0000,151.8449,125.5833,450.5249
0.0000,-43.0000,125.5000,716.0000,128.1541,125.5833,450.4988
289.8200,-237.1449,125.5833,531.3868,0.0000,0.0000,0.0000
245.9000,160.2737,125.5833,501.3739,0.0000,0.0000,0.0000
0.0000,-43.0000,125.5000,716.0000,149.1393,125.5833,454.0791
201.0500,159.3500,125.5833,750.8168,0.0000,0.0000,0.0000
0.0000,-43.0000,125.5000,716.0000,149.3071,125.5833,454.2401
189.3000,156.0879,125.5833,571.3563,0.0000,0.0000,0.0000
0.0000,-43.0000,125.5000,716.0000,161.2621,125.5833,668.8981
281.0900,158.6821,125.5833,496.7361,0.0000,0.0000,0.0000
227.4600,158.4985,125.5833,500.5285,0.0000,0.0000,0.0000
0.0000,-43.0000,125.5000,716.0000,152.4190,125.5833,451.7335
269.0000,158.2098,125.5833,463.7653,0.0000,0.0000,0.0000
212.3500,153.1104,125.5833,460.0581,0.0000,0.0000,0.0000
213.6700,160.0880,125.5833,702.9081,0.0000,0.0000,0.0000
261.6100,157.6281,125.5833,501.0083,0.0000,0.0000,0.0000
0.0000,173.3943,125.0000,40.4752,0.0000,0.0000,0.0000
0.0000,-43.0000,125.5000,716.0000,0.0000,0.0000,0.0000
0.0000,-43.0000,125.5000,716.0000,0.0000,0.0000,0.0000
0.0000,-43.0000,125.5000,716.0000,0.0000,0.0000,0.0000
0.0000,-43.0000,125.5000,716.0000,0.0000,0.0000,0.0000
0.0000,-43.0000,125.5000,716.0000,0.0000,0.0000,0.0000
0.0000,-43.0000,125.5000,716.0000,0.0000,0.0000,0.0000
0.0000,-43.0000,125.5000,716.0000,0.0000,0.0000,0.0000
0.0000,-43.0000,125.5000,716.0000,0.0000,0.0000,0.0000
0.0000,-43.0000,125.5000,716.0000,0.0000,0.0000,0.0000
0.0000,-43.0000,125.5000,716.0000,0.0000,0.0000,0.0000
0.0000,-43.0000,125.5000,716.0000,0.0000,0.0000,0.0000
0.0000,-43.0000,125.5000,716.0000,0.0000,0.0000,0.0000
0.0000,-43.0000,125.5000,716.0000,0.0000,0.0000,0.0000
0.0000,-43.0000,125.5000,716.0000,0.0000,0.0000,0.0000
0.0000,-43.0000,125.5000,716.0000,0.0000,0.0000,0.0000
0.0000,-43.0000,125.5000,716.0000,0.0000,0.0000,0.0000
0.0000,-43.0000,125.5000,716.0000,0.0000,0.0000,0.0000
0.0000,-43.0000,125.5000,716.0000,0.0000,0.0000,0.0000
0.0000,-43.0000,125.5000,716.0000,0.0000,0.0000,0.0000
0.0000,-43.0000,125.5000,716.0000,0.0000,0.0000,0.0000
0.0000,-43.0000,125.5000,716.0000,0.0000,0.0000,0.0000
0.0000,-43.0000,125.5000,716.0000,0.0000,0.0000,0.0000
0.0000,-43.0000,125.5000,716.0000,0.0000,0.0000,0.0000
0.0000,-43.0000,125.5000,716.0000,0.0000,0.0000,0.0000
0.0000,-43.0000,125.5000,716.0000,0.0000,0.0000,0.0000
0.0000,-43.0000,125.5000,716.0000,0.0000,0.0000,0.0000
0.0000,-43.0000,125.5000,716.0000,0.0000,0.0000,0.0000
0.0000,-43.0000,125.5000,716.0000,0.0000,0.0000,0.0000
0.0000,-43.0000,125.5000,716.0000,0.0000,0.0000,0.0000
0.0000,-43.0000,125.5000,716.0000,0.0000,0.0000,0.0000
0.0000,-43.0000,125.5000,716.0000,0.0000,0.0000,0.0000
0.0000,-43.0000,125.5000,716.0000,0.0000,0.0000,0.0000
0.0000,-43.0000,125.5000,716.0000,0.0000,0.0000,0.0000
0.0000,-43.0000,125.5000,716.0000,0.0000,0.0000,0.0000
0.0000,-43.0000,125.5000,716.0000,0.0000,0.0000,0.0000
0.0000,-43.0000,125.5000,716.0000,0.0000,0.0000,0.0000
0.0000,-43.0000,125.5000,716.0000,0.0000,0.0000,0.0000
0.0000,-43.0000,125.5000,716.0000,0.0000,0.0000,0.0000
0.0000,-43.0000,125.5000,716.0000,0.0000,0.0000,0.0000
0.0000,-43.0000,125.5000,716.0000,0.0000,0.0000,0.0000
0.0000,-43.0000,125.5000,716.0000,0.0000,0.0000,0.0000
0.0000,-43.0000,125.5000,716.0000,0.0000,0.0000,0.0000
0.0000,-43.0000,125.5000,716.0000,0.0000,0.0000,0.0000
0.0000,-43.0000,125.5000,716.0000,0.0000,0.0000,0.0000
0.0000,-43.0000,125.5000,716.0000,0.0000,0.0000,0.0000
0.0000,-43.0000,125.5000,716.0000,0.0000,0.0000,0.0000
0.0000,-43.0000,125.5000,716.0000,0.0000,0.0000,0.0000
0.0000,-43.0000,125.5000,716.0000,0.0000,0.0000,0.0000
0.0000,-43.0000,125.5000,716.0000,0.0000,0.0000,0.0000
0.0000,-43.0000,125.5000,716.0000,0.0000,0.0000,0.0000
0.0000,-43.0000,125.5000,716.0000,0.0000,0.0000,0.0000
0.0000,-43.0000,125.5000,716.0000,0.0000,0.0000,0.0000
0.0000,-43.0000,125.5000,716.0000,0.0000,0.0000,0.0000
0.0000,-43.0000,125.5000,716.0000,0.0000,0.0000,0.0000
0.0000,-43.0000,125.5000,716.0000,0.0000,0.0000,0.0000
0.0000,-43.0000,125.5000,716.0000,0.0000,0.0000,0.0000
0.0000,-43.0000,125.5000,716.0000,0.0000,0.0000,0.0000
0.0000,-43.0000,125.5000,716.0000,0.0000,0.0000,0.0000
0.0000,-43.0000,125.5000,716.0000,0.0000,0.0000,0.0000
0.0000,-43.0000,125.5000,716.0000,0.0000,0.0000,0.0000
0.0000,-43.0000,125.5000,716.0000,0.0000,0.0000,0.0000
0.0000,-43.0000,125.5000,716.0000,0.0000,0.0000,0.0000
0.0000,-43.0000,125.5000,716.0000,0.0000,0.0000,0.0000
0.0000,-43.0000,125.5000,716.0000,0.0000,0.0000,0.0000
299.5300,-43.0000,125.5000,716.0000,39.1477,125.5000,453.9430
29.2900,160.8069,125.5833,535.7639,23.5361,125.5833,455.1357
46.7700,160.9901,125.5833,536.0406,23.5596,125.5833,455.2760
50.8400,149.3082,125.5833,456.1454,128.1049,125.5833,450.8270
56.5900,147.5334,125.5833,458.5566,-244.0392,125.5833,596.0451
57.1300,-219.8244,125.5833,458.0764,-240.2594,125.5833,570.8890
75.7800,156.9888,125.5833,668.8985,166.8108,125.5833,677.9874
290.6800,51.7994,125.5833,456.5134,165.7018,125.5833,529.7966
249.4300,2.3298,125.5833,456.7318,162.0484,125.5833,543.5309
100.7300,24.8754,125.5833,455.5345,163.5840,125.5833,537.1734
161.1200,157.0781,125.5833,566.2504,-59.2971,125.5833,453.8941
107.8600,159.4729,125.5833,596.0543,-127.1527,125.5833,453.7697
109.0200,27.2692,125.5833,456.4775,164.4879,125.5833,537.4557
115.0100,155.5895,125.5833,669.1123,165.8377,125.5833,479.0053
115.5900,159.5522,125.5833,536.8635,20.6608,125.5833,454.8166
117.9600,-221.9957,125.5833,456.4548,165.1482,125.5833,461.8594
126.8000,156.2733,125.5833,668.9260,17.4806,125.5833,450.8648
127.4700,156.2966,125.5833,570.6312,-95.7836,125.5833,454.2834
131.7200,158.6720,125.5833,536.4648,19.8905,125.5833,454.4518
136.4200,158.6201,125.5833,593.0240,162.8698,125.5833,523.5818
149.1000,-221.8889,125.5833,456.5018,165.1190,125.5833,599.6396
149.7500,147.0993,125.5833,458.6257,163.2225,125.5833,610.0339
153.4900,145.8542,125.5833,460.4457,165.0785,125.5833,456.7945
155.2500,156.4069,125.5833,668.9359,34.8765,125.5833,453.0792
155.8400,160.6766,125.5833,537.3336,21.1777,125.5833,454.9772
168.0900,159.3402,125.5833,537.0884,16.2778,125.5833,452.4858
169.3800,-221.5230,125.5833,457.3123,-240.1366,125.5833,551.0024
178.8200,-220.4148,125.5833,458.8927,164.7997,125.5833,582.3938
179.6200,160.8608,125.5833,667.8336,26.5912,125.5833,449.4879
250.0200,157.7927,125.5833,506.2493,104.8618,125.5833,451.3406
190.0800,155.4919,125.5833,534.9385,20.5348,125.5833,455.0978
194.1800,158.4667,125.5833,536.4183,18.8987,125.5833,453.9215
196.0300,146.1125,125.5833,459.8372,166.1292,125.5833,506.1176
199.8200,102.4420,125.5833,457.2976,161.2489,125.5833,487.1648
204.4200,26.2869,125.5833,455.7019,161.8863,125.5833,535.8141
209.7500,158.8927,125.5833,537.1937,17.0545,125.5833,453.2188
214.3200,156.6229,125.5833,545.5893,6.8627,125.5833,454.2413
216.3200,158.0744,125.5833,566.6599,-115.2819,125.5833,453.5036
224.5000,160.8227,125.5833,538.2216,17.9386,125.5833,453.6576
228.0500,156.7713,125.5833,514.6636,72.5284,125.5833,453.3096
232.5400,-221.5996,125.5833,457.4713,126.6231,125.5833,453.7947
287.3900,159.6777,125.5833,597.0828,-32.9061,125.5833,455.4751
243.8200,147.1156,125.5833,458.2445,163.8671,125.5833,523.8601
249.4300,29.7264,125.5833,457.5826,163.0234,125.5833,536.4032
260.3800,27.0613,125.5833,456.0522,-151.5865,125.5833,453.0370
261.0200,156.4385,125.5833,535.6758,20.6322,125.5833,455.2883
262.2600,26.3489,125.5833,455.6183,163.2481,125.5833,536.5538
264.2300,26.1579,125.5833,455.5199,164.6811,125.5833,537.4088
265.5700,132.2131,125.5833,460.0431,123.7417,125.5833,451.3862
267.6100,158.4326,125.5833,599.2770,-112.3782,125.5833,453.7154
269.0000,-14.0020,125.5833,458.6724,161.8748,125.5833,656.8911
269.6600,157.8350,125.5833,569.0701,-125.8112,125.5833,453.5231
276.0900,155.2212,125.5833,617.2194,-242.4266,125.5833,501.7722
278.9000,160.9562,125.5833,667.7516,165.1214,125.5833,679.6711
283.8100,-104.9683,125.5833,455.8683,164.6418,125.5833,691.3338
284.4600,157.8439,125.5833,557.1205,-62.7380,125.5833,452.4597
289.8200,154.2653,125.5833,570.0337,-91.1526,125.5833,455.4860
291.4800,144.9400,125.5833,461.3523,39.1477,125.5833,453.9430
296.2500,160.8442,125.5833,667.6299,163.6933,125.5833,537.1002
