entry time,entry position x,entry position y,entry position z,exit position x,exit position y,exit position z
0.0000,173.3943,125.0000,40.4752,0.0000,0.0000,0.0000
94.5700,-761.9566,125.5833,384.9566,-509.0408,125.5833,269.6429
296.0900,-764.7391,125.5000,292.3591,-772.3596,125.5000,549.9395
149.6800,-450.1880,125.5833,276.0385,-362.4874,125.5833,370.7978
146.9500,-760.5475,125.5833,444.8052,-360.1909,125.5833,383.3647
224.8900,-398.6257,125.5833,272.9290,-360.9494,125.5833,291.6240
141.7500,-370.2311,125.5833,509.4898,-360.5836,125.5833,354.1606
168.5800,-522.5480,125.5833,272.1569,-360.4395,125.5833,422.1956
241.7700,-572.9056,125.5833,274.4172,-362.9982,125.5833,449.3380
188.1100,-668.6806,125.5833,274.4165,-362.8858,125.5833,490.2358
188.1100,-368.9759,125.5833,454.7153,-360.0973,125.5833,494.1767
216.7600,-746.3115,125.5833,272.3701,-563.0093,125.5833,267.8804
224.2300,-368.9759,125.5833,473.0528,-359.2180,125.5833,455.3300
233.1300,-366.4630,125.5833,378.2949,-356.7667,125.5833,532.2863
296.9000,-760.8889,125.5833,534.5287,-362.6986,125.5833,415.2362
251.7500,-368.4273,125.5833,408.9444,-503.8530,125.5833,268.5033
252.5100,-475.1488,125.5833,272.1161,-361.2809,125.5833,336.1346
268.3300,-590.8533,125.5833,272.0483,-558.6877,125.5833,269.7595
272.6800,-366.6892,125.5833,473.9303,-363.1720,125.5833,473.4197
274.1700,-573.4224,125.5833,271.7498,-532.5335,125.5833,266.0414
277.7600,-764.3328,125.5833,429.8818,-766.2979,125.5833,295.7014
279.9700,-368.3502,125.5833,635.7623,-360.5295,125.5833,576.8646
280.7100,-365.2075,125.5833,560.9540,-770.8602,125.5833,355.8469
283.9500,-497.1803,125.5833,273.9346,-363.5156,125.5833,404.0338
295.2700,-503.7441,125.5833,271.6082,-358.9436,125.5833,346.3308
296.0900,-764.7391,125.5833,292.3591,-767.0227,125.5833,284.1869
299.3300,-403.8841,125.5833,272.6660,-360.5261,125.5833,294.0403
