entry time,entry position x,entry position y,entry position z,exit position x,exit position y,exit position z
0.0000,-175.9000,125.5000,55.7000,0.0000,0.0000,0.0000
0.0000,-175.9000,125.5000,55.7000,0.0000,0.0000,0.0000
0.0000,-175.9000,125.5000,55.7000,0.0000,0.0000,0.0000
0.0000,-175.9000,125.5000,55.7000,0.0000,0.0000,0.0000
0.0000,-175.9000,125.5000,55.7000,0.0000,0.0000,0.0000
0.0000,-175.9000,125.5000,55.7000,0.0000,0.0000,0.0000
0.0000,-175.9000,125.5000,55.7000,0.0000,0.0000,0.0000
0.0000,-175.9000,125.5000,55.7000,0.0000,0.0000,0.0000
0.0000,-175.9000,125.5000,55.7000,0.0000,0.0000,0.0000
0.0000,-175.9000,125.5000,55.7000,0.0000,0.0000,0.0000
0.0000,173.3943,125.0000,40.4752,0.0000,0.0000,0.0000
248.8400,65.2129,125.5833,-44.4951,-220.1345,125.5833,118.6159
298.1400,9.7831,125.5000,-281.9483,67.6494,125.5000,-185.3320
99.6600,-138.1936,125.5833,117.3588,67.0703,125.5833,12.5843
102.6000,-228.6326,125.5833,117.6973,66.1381,125.5833,-63.9382
112.5200,-334.1136,125.5833,-276.6167,37.3283,125.5833,119.5436
113.6800,-334.5280,125.5833,-89.9108,-119.0468,125.5833,119.7109
289.8600,-159.4905,125.5833,117.1585,-335.5806,125.5833,-54.8496
127.6000,-227.0464,125.5833,-282.3359,-336.6626,125.5833,-142.3293
131.2600,-325.5717,125.5833,-282.1882,66.6113,125.5833,97.2708
250.2200,64.4981,125.5833,59.5749,-336.5220,125.5833,-150.3815
270.3000,65.9247,125.5833,99.9053,-335.2771,125.5833,-140.5800
138.0200,-24.6245,125.5833,-283.1570,-336.7581,125.5833,-168.8779
148.0600,-271.6136,125.5833,-281.8786,-336.0814,125.5833,-141.6350
148.5400,-334.3297,125.5833,-272.2876,23.4098,125.5833,117.8715
155.7800,-257.7297,125.5833,-283.1381,67.3488,125.5833,24.4002
159.8800,-324.8611,125.5833,-282.2654,66.7603,125.5833,114.7546
229.0400,65.7731,125.5833,-132.0702,-336.2198,125.5833,-238.5021
183.0200,-94.9288,125.5833,117.7103,-337.3959,125.5833,79.0967
185.9800,-334.1702,125.5833,-239.4747,-37.5333,125.5833,119.0856
187.3600,-334.9537,125.5833,4.6248,-226.8228,125.5833,118.4397
189.5600,-326.1816,125.5833,-282.9254,66.9387,125.5833,97.8724
243.8600,64.9613,125.5833,-192.7690,-208.8789,125.5833,-284.5720
191.8800,-228.9944,125.5833,-282.1396,66.0521,125.5833,-41.0818
204.0000,-324.4544,125.5833,-281.5948,67.0978,125.5833,117.3867
206.7600,-45.8118,125.5833,-282.2631,66.1062,125.5833,-210.2659
215.0400,-333.6104,125.5833,17.9914,-242.7731,125.5833,118.8547
220.3000,-143.1476,125.5833,117.0731,67.6934,125.5833,32.2654
226.5400,-334.4272,125.5833,97.5032,-316.0267,125.5833,118.2422
230.7000,-97.1972,125.5833,117.5639,-336.6315,125.5833,77.9126
234.7000,-228.7324,125.5833,116.8411,67.7347,125.5833,-71.6524
236.9400,-98.8739,125.5833,-283.0491,68.1996,125.5833,-161.0912
238.0400,47.3245,125.5833,-282.5947,-200.8470,125.5833,-283.3201
241.6400,-43.2774,125.5833,117.4148,68.1543,125.5833,77.0052
243.4400,-66.1616,125.5833,-283.0558,-282.6217,125.5833,-284.6597
245.0800,-45.6874,125.5833,117.4636,-335.2630,125.5833,60.0500
253.5000,-266.6562,125.5833,113.5383,67.0021,125.5833,-166.1418
256.9000,-332.5053,125.5833,8.4786,-228.0538,125.5833,118.5476
258.4000,-92.4116,125.5833,-282.3079,67.3145,125.5833,-220.7112
258.8400,-223.8071,125.5833,-282.5231,65.9458,125.5833,-43.3466
260.4000,-123.2524,125.5833,117.5383,66.7754,125.5833,51.9308
260.4000,64.0916,125.5833,-216.4008,-194.5328,125.5833,-283.5742
261.1200,64.4198,125.5833,-227.1763,-195.8893,125.5833,-283.8460
265.2000,65.1986,125.5833,-53.5059,-224.9190,125.5833,118.1182
267.4400,-272.3010,125.5833,-282.5658,67.7756,125.5833,38.0640
272.3400,-257.2066,125.5833,-282.8376,66.4363,125.5833,23.4613
273.5400,-334.0552,125.5833,84.3085,-301.8381,125.5833,117.9734
276.5800,-329.0734,125.5833,-282.7119,66.3040,125.5833,108.0727
277.7400,-334.0153,125.5833,-255.5110,-21.7893,125.5833,119.1848
278.2000,-334.5528,125.5833,-59.1432,-149.6535,125.5833,118.4890
279.4000,-329.7438,125.5833,-282.9822,67.1001,125.5833,110.4545
281.4800,-201.0432,125.5833,-282.0822,66.3511,125.5833,-88.7736
281.7000,-229.3314,125.5833,-283.2140,66.0017,125.5833,-14.4633
281.8800,-257.2690,125.5833,-282.5538,67.0024,125.5833,24.1301
283.1800,-273.3866,125.5833,-282.7025,67.5588,125.5833,42.6055
283.1800,-334.6637,125.5833,-270.0865,15.6187,125.5833,118.1315
285.7600,-101.4619,125.5833,-282.1105,67.3798,125.5833,-160.0803
289.1000,-334.6782,125.5833,-29.2920,-187.2939,125.5833,119.0791
290.8400,-229.0398,125.5833,-282.3582,67.1285,125.5833,-36.7166
293.3600,64.1346,125.5833,101.9059,-0.1260,125.5833,117.8728
297.2600,-94.6389,125.5833,117.6830,-335.4470,125.5833,74.5945
298.1400,9.7831,125.5833,-281.9483,68.2362,125.5833,-245.5796
298.7200,65.2306,125.5833,-224.0591,-194.3520,125.5833,-283.5691
