entry time,entry position x,entry position y,entry position z,exit position x,exit position y,exit position z
0.0000,-175.9000,125.5000,55.7000,0.0000,0.0000,0.0000
0.0000,-175.9000,125.5000,55.7000,0.0000,0.0000,0.0000
0.0000,-175.9000,125.5000,55.7000,0.0000,0.0000,0.0000
0.0000,-175.9000,125.5000,55.7000,0.0000,0.0000,0.0000
0.0000,-175.9000,125.5000,55.7000,0.0000,0.0000,0.0000
0.0000,-175.9000,125.5000,55.7000,0.0000,0.0000,0.0000
0.0000,-175.9000,125.5000,55.7000,0.0000,0.0000,0.0000
0.0000,-175.9000,125.5000,55.7000,0.0000,0.0000,0.0000
0.0000,-175.9000,125.5000,55.7000,0.0000,0.0000,0.0000
0.0000,-175.9000,125.5000,55.7000,0.0000,0.0000,0.0000
0.0000,173.3943,125.0000,40.4752,0.0000,0.0000,0.0000
102.9700,-334.9497,125.5833,-240.8391,-335.0649,125.5833,94.0516
103.0100,-334.7006,125.5000,-240.5377,-35.3502,125.5000,117.4979
108.0800,-335.0251,125.5833,-179.0653,-50.9270,125.5833,117.8741
108.1400,-334.5978,125.5000,-178.6186,0.0000,0.0000,0.0000
112.4500,-326.6080,125.5833,-283.1001,51.8572,125.5833,117.8423
112.4900,-326.3286,125.5000,-282.8042,0.0000,0.0000,0.0000
123.4000,-126.0221,125.5833,117.7058,65.9520,125.5833,-1.2106
123.4200,-125.5287,125.5000,117.4001,0.0000,0.0000,0.0000
126.6900,-238.1191,125.5833,-283.1852,-335.1352,125.5833,-141.5856
126.7400,-237.7162,125.5000,-282.8356,0.0000,0.0000,0.0000
127.0900,-145.0255,125.5833,-283.1988,-335.2733,125.5833,-141.5085
127.1700,-144.3137,125.5000,-282.7992,0.0000,0.0000,0.0000
128.3900,-224.6243,125.5833,117.7455,-232.7769,125.5833,120.0156
128.4500,-224.0884,125.5000,117.4187,0.0000,0.0000,0.0000
131.3200,-323.4204,125.5833,-283.0774,66.0007,125.5833,85.0808
131.3700,-323.0688,125.5000,-282.7450,0.0000,0.0000,0.0000
137.7100,-223.8381,125.5833,-283.0723,-335.1248,125.5833,-150.9069
137.7600,-223.4652,125.5000,-282.7843,0.0000,0.0000,0.0000
138.9900,-230.6428,125.5833,-283.1154,-335.1063,125.5833,-141.1879
139.0200,-230.3940,125.5000,-282.8886,0.0000,0.0000,0.0000
148.1900,-335.0356,125.5833,-275.3802,32.6919,125.5833,117.8462
148.2400,-334.7297,125.5000,-275.0532,0.0000,0.0000,0.0000
148.9100,-258.6967,125.5833,-283.2043,-335.3277,125.5833,-141.7803
148.9800,-258.1992,125.5000,-282.7346,0.0000,0.0000,0.0000
157.9700,-228.4574,125.5833,-283.1107,66.0099,125.5833,-16.7992
158.0100,-228.1097,125.5000,-282.8051,0.0000,0.0000,0.0000
159.2900,-330.8741,125.5833,-283.1685,66.0295,125.5833,110.1000
159.3300,-330.5917,125.5000,-282.8885,0.0000,0.0000,0.0000
165.1300,-132.1797,125.5833,-283.1432,-336.9193,125.5833,-241.5113
165.2000,-131.5392,125.5000,-282.8649,0.0000,0.0000,0.0000
184.5600,-334.9235,125.5833,-254.1611,-23.9629,125.5833,118.0004
184.6100,-334.5757,125.5000,-253.7404,0.0000,0.0000,0.0000
186.3600,-334.9596,125.5833,-8.1563,-213.5938,125.5833,117.9575
186.5100,-333.9213,125.5000,-7.0773,0.0000,0.0000,0.0000
189.7300,-322.8240,125.5833,-282.9561,66.3331,125.5833,85.7199
189.7500,-322.6207,125.5000,-282.7635,0.0000,0.0000,0.0000
192.1400,-224.7662,125.5833,-282.9869,65.9471,125.5833,-52.6294
192.1900,-224.3793,125.5000,-282.6803,0.0000,0.0000,0.0000
202.5400,65.7251,125.5833,-264.1361,-296.1538,125.5833,118.0548
203.4400,-330.5557,125.5833,-283.1558,66.0878,125.5833,108.9507
203.4800,-330.2139,125.5000,-282.8179,0.0000,0.0000,0.0000
207.1400,-39.8519,125.5833,-283.0780,65.9475,125.5833,-218.0427
207.1900,-39.4039,125.5000,-282.8026,0.0000,0.0000,0.0000
215.0100,-334.9084,125.5833,19.1323,-242.6403,125.5833,118.0228
215.0400,-334.7081,125.5000,19.3470,0.0000,0.0000,0.0000
225.5400,-334.8160,125.5833,86.4691,-306.4987,125.5833,117.8584
225.5700,-334.6089,125.5000,86.6986,0.0000,0.0000,0.0000
228.1000,65.7632,125.5833,-141.2146,0.0000,0.0000,0.0000
237.2000,65.8527,125.5833,-24.4901,-204.5953,125.5833,117.9384
237.2300,-94.0877,125.5833,-283.1473,66.2286,125.5833,-170.0724
237.2900,-93.5931,125.5000,-282.7985,0.0000,0.0000,0.0000
242.3700,65.5245,125.5833,-207.9305,-197.8390,125.5833,-285.0186
244.0000,65.8265,125.5833,99.0471,0.0000,0.0000,0.0000
249.1000,31.4931,125.5833,117.6617,66.3107,125.5833,102.7657
249.1600,32.0365,125.5000,117.4292,0.0000,0.0000,0.0000
255.5100,-334.9462,125.5833,-7.1447,-214.7518,125.5833,117.8408
255.5500,-334.6884,125.5000,-6.8766,0.0000,0.0000,0.0000
258.7100,-137.4362,125.5833,117.7234,66.1263,125.5833,41.5875
258.7500,-224.3770,125.5833,-283.0299,65.9498,125.5833,-50.9070
258.7900,-136.5866,125.5000,117.4056,0.0000,0.0000,0.0000
258.7900,-224.1064,125.5000,-282.8162,0.0000,0.0000,0.0000
260.1600,65.8285,125.5833,-253.2101,-165.9789,125.5833,-283.2319
266.2400,-334.8828,125.5833,-258.4771,-13.8449,125.5833,117.9136
266.2800,-334.6484,125.5000,-258.2024,0.0000,0.0000,0.0000
268.3700,-258.4749,125.5833,-283.1078,66.0464,125.5833,23.4536
268.4100,-258.1892,125.5000,-282.8379,0.0000,0.0000,0.0000
268.4100,-334.9141,125.5833,17.0745,-244.3696,125.5833,117.8754
268.4500,-334.6970,125.5000,17.3162,0.0000,0.0000,0.0000
269.0400,65.8363,125.5833,52.6368,0.0000,0.0000,0.0000
274.6500,-226.8535,125.5833,-282.8326,66.2827,125.5833,-18.9034
274.6500,-226.8535,125.5000,-282.8326,0.0000,0.0000,0.0000
276.6400,-326.3448,125.5833,-282.9583,65.9558,125.5833,95.3983
276.6700,-326.0986,125.5000,-282.7209,0.0000,0.0000,0.0000
279.4900,-327.6531,125.5833,-283.0916,66.2471,125.5833,99.5817
279.5300,-327.3595,125.5000,-282.8063,0.0000,0.0000,0.0000
281.4100,-198.8419,125.5833,-282.9757,65.9506,125.5833,-98.9632
281.4700,-198.3703,125.5000,-282.6479,0.0000,0.0000,0.0000
281.5000,-232.7079,125.5833,-283.1080,66.0126,125.5833,-25.8371
281.5700,-232.2104,125.5000,-282.6794,0.0000,0.0000,0.0000
281.7200,-258.3030,125.5833,-282.9693,66.1824,125.5833,23.5729
281.7200,-334.9092,125.5833,-177.4249,-54.9031,125.5833,117.8439
281.7500,-258.0839,125.5000,-282.7623,0.0000,0.0000,0.0000
281.7500,-334.7018,125.5000,-177.2062,0.0000,0.0000,0.0000
282.9600,-334.8561,125.5833,-273.2982,26.2837,125.5833,117.9353
283.0100,-334.5283,125.5000,-272.9432,0.0000,0.0000,0.0000
284.1500,-259.2131,125.5833,-283.0593,66.1465,125.5833,23.8373
284.2100,-258.7618,125.5000,-282.6337,0.0000,0.0000,0.0000
286.2600,-93.8370,125.5833,-283.0879,66.1691,125.5833,-171.2357
286.3000,-93.5295,125.5000,-282.8729,0.0000,0.0000,0.0000
288.4800,-334.8426,125.5833,-37.3318,-177.3840,125.5833,118.1274
288.5100,-334.5979,125.5000,-37.0902,0.0000,0.0000,0.0000
290.1500,-334.9285,125.5833,-110.4869,-102.6359,125.5833,117.8041
290.2100,-334.5347,125.5000,-110.0999,0.0000,0.0000,0.0000
291.0600,-225.7173,125.5833,-283.0609,65.9511,125.5833,-47.5476
291.0900,-225.4751,125.5000,-282.8670,0.0000,0.0000,0.0000
293.3200,65.8347,125.5833,-61.9599,0.0000,0.0000,0.0000
297.9300,8.9691,125.5833,-283.2040,66.4805,125.5833,-249.2338
298.0200,9.7540,125.5000,-282.7404,0.0000,0.0000,0.0000
298.0500,-334.7939,125.5833,8.4892,66.1267,125.5833,111.8295
300.0000,-175.9000,125.5000,55.7000,0.0000,0.0000,0.0000
