entry time,entry position x,entry position y,entry position z,exit position x,exit position y,exit position z
0.0000,173.3943,125.0000,40.4752,0.0000,0.0000,0.0000
10.9400,-30.9978,125.5833,699.7348,-35.1837,125.5833,699.9307
12.4900,-31.0744,125.5833,699.8295,-32.4968,125.5833,699.9307
17.3200,161.1605,125.5833,668.4064,25.8337,125.5833,699.9533
17.8800,-54.0411,125.5833,699.8444,-22.7666,125.5833,700.1532
19.7900,26.3904,125.5833,699.8921,-57.7827,125.5833,700.0571
21.0000,-54.0402,125.5833,699.8417,161.3586,125.5833,570.7047
35.7800,-54.0080,125.5833,699.8874,-221.5832,125.5833,455.3691
35.9800,-54.0684,125.5833,699.7975,12.9975,125.5833,700.0247
38.4000,149.7468,125.5833,455.5709,59.0922,125.5833,455.4777
43.2100,161.1177,125.5833,668.5809,161.2410,125.5833,578.6363
43.7700,-54.0187,125.5833,699.8721,-59.3710,125.5833,700.0822
44.5500,-11.6977,125.5833,699.9095,-12.0144,125.5833,699.9706
44.6400,-10.9524,125.5000,699.5240,-239.7198,125.5000,474.5807
47.7000,149.7196,125.5833,455.5949,161.2501,125.5833,657.1642
56.2300,149.7106,125.5833,455.6108,-239.8337,125.5833,648.8643
62.8500,-7.2979,125.5833,699.8931,-7.7031,125.5833,700.0187
62.9400,-6.5053,125.5000,699.5344,0.0000,0.0000,0.0000
64.1700,-31.0874,125.5833,699.8350,-24.2936,125.5833,699.9791
67.7600,-20.9231,125.5833,699.8945,161.4000,125.5833,668.5400
67.7900,-20.3113,125.5000,699.4872,0.0000,0.0000,0.0000
69.9200,160.6163,125.5000,533.6568,0.0000,0.0000,0.0000
69.9200,161.0025,125.5833,533.8947,0.0000,0.0000,0.0000
71.7800,-22.0450,125.5833,455.5152,-22.2661,125.5833,455.4290
71.8700,-21.3710,125.5000,455.9614,0.0000,0.0000,0.0000
73.0800,161.0753,125.5833,668.5917,161.3471,125.5833,464.1931
73.3400,-39.3536,125.5833,699.6750,0.0000,0.0000,0.0000
73.3400,-39.2386,125.5000,699.2917,0.0000,0.0000,0.0000
74.3700,-27.7855,125.5833,699.8755,-27.9320,125.5833,700.0350
74.4200,-27.4159,125.5000,699.4838,0.0000,0.0000,0.0000
77.1200,26.3129,125.5833,699.9110,30.6200,125.5833,699.9281
77.7400,161.1390,125.5833,668.5788,61.3597,125.5833,455.4305
77.7600,149.7276,125.5833,455.5872,76.5304,125.5833,455.4008
79.4600,24.2907,125.5833,455.5462,-239.9257,125.5833,541.3587
87.3300,18.8831,125.5833,699.8797,-38.0223,125.5833,700.3369
87.3800,19.8740,125.5000,699.5825,0.0000,0.0000,0.0000
88.4000,24.3542,125.5833,455.5840,-68.0028,125.5833,455.4777
89.5300,161.1287,125.5833,587.1046,-113.1731,125.5833,455.4333
89.5500,160.6593,125.5000,586.9304,0.0000,0.0000,0.0000
90.8000,-54.1264,125.5833,699.7077,-32.5314,125.5833,700.0615
92.2900,-221.4448,125.5833,455.6198,-239.8760,125.5833,473.8272
92.6200,-54.0010,125.5833,699.8866,-4.3196,125.5833,699.9954
92.9500,24.4963,125.5833,455.6565,-202.5299,125.5833,455.4021
94.3100,-94.5568,125.5833,699.9037,0.0000,0.0000,0.0000
94.3900,-95.5632,125.5000,699.5502,0.0000,0.0000,0.0000
96.7400,-33.0498,125.5833,699.9184,0.0000,0.0000,0.0000
96.7400,-32.7472,125.5000,699.5446,0.0000,0.0000,0.0000
100.8300,-43.6271,125.5000,699.5278,0.0000,0.0000,0.0000
100.8500,-43.6510,125.5833,699.7246,0.0000,0.0000,0.0000
102.4700,-221.5145,125.5833,455.5249,-239.8099,125.5833,536.3663
106.6500,24.3021,125.5833,455.5417,-78.7672,125.5833,455.4331
112.7400,-37.0640,125.5833,699.8967,0.0000,0.0000,0.0000
112.7400,-36.9030,125.5000,699.5227,0.0000,0.0000,0.0000
114.5300,161.0316,125.5833,668.5942,131.3352,125.5833,455.3502
117.6100,-31.1090,125.5833,699.8602,-21.9251,125.5833,700.0976
120.8000,-38.2384,125.5833,699.8773,-28.3966,125.5833,700.1597
120.8600,-38.0574,125.5000,699.2661,0.0000,0.0000,0.0000
125.0700,-14.8739,125.5833,455.6045,112.0971,125.5833,455.4715
125.0700,160.6630,125.5000,617.6881,0.0000,0.0000,0.0000
125.0700,161.1129,125.5833,617.7587,-228.6682,125.5833,455.2193
125.0900,-14.4013,125.5000,455.9132,0.0000,0.0000,0.0000
126.9100,-56.4103,125.5833,699.8759,0.0000,0.0000,0.0000
126.9100,-56.6954,125.5000,699.5246,0.0000,0.0000,0.0000
128.8000,-54.0164,125.5833,699.8644,-14.6230,125.5833,700.0532
131.2800,160.7445,125.5000,612.1438,0.0000,0.0000,0.0000
131.3000,161.0024,125.5833,612.1761,-240.0771,125.5833,572.7650
135.5700,161.0013,125.5833,668.6014,-239.8529,125.5833,457.9396
137.5400,-61.9737,125.5833,699.8795,0.0000,0.0000,0.0000
137.5600,-62.4054,125.5000,699.4825,0.0000,0.0000,0.0000
138.0600,-35.1033,125.5833,699.8162,0.0000,0.0000,0.0000
138.0600,-34.8291,125.5000,699.4135,0.0000,0.0000,0.0000
140.0900,149.6796,125.5833,455.6483,-239.8313,125.5833,470.8474
141.4000,160.7148,125.5000,566.2845,0.0000,0.0000,0.0000
141.4000,161.0905,125.5833,566.4424,0.0000,0.0000,0.0000
142.2900,161.0300,125.5833,623.6221,0.0000,0.0000,0.0000
143.1300,-35.3055,125.5833,699.8594,47.8008,125.5833,455.4876
143.1700,-35.1046,125.5000,699.4476,0.0000,0.0000,0.0000
144.7400,160.6569,125.5000,614.6801,0.0000,0.0000,0.0000
144.7400,161.0858,125.5833,614.7273,0.0000,0.0000,0.0000
145.2100,26.3917,125.5833,699.8956,161.3435,125.5833,668.5487
145.8700,-31.1103,125.5833,699.8262,0.0000,0.0000,0.0000
146.1000,149.7792,125.5833,455.5106,161.2720,125.5833,581.5620
153.7600,161.1088,125.5833,668.5829,-240.1552,125.5833,549.6946
158.2600,26.4958,125.5833,699.8819,-28.4703,125.5833,700.2818
158.9200,-57.0371,125.5833,699.7361,0.0000,0.0000,0.0000
158.9400,-57.2713,125.5000,699.4264,0.0000,0.0000,0.0000
159.5400,161.0721,125.5833,499.7805,0.0000,0.0000,0.0000
159.5600,160.7712,125.5000,572.3483,0.0000,0.0000,0.0000
