entry time,entry position x,entry position y,entry position z,exit position x,exit position y,exit position z
0.0000,173.3943,125.0000,40.4752,0.0000,0.0000,0.0000
119.4800,-456.3179,125.5833,271.0552,-364.2993,125.5833,355.5542
119.5000,-456.7415,125.5000,271.4102,-765.2970,125.5000,551.6379
122.9200,-364.4744,125.5833,605.0746,-363.9253,125.5833,382.5172
122.9200,-364.7580,125.5000,604.9750,0.0000,0.0000,0.0000
147.9900,-364.5356,125.5833,331.6136,-487.7189,125.5833,270.9339
147.9900,-364.7908,125.5000,331.4879,0.0000,0.0000,0.0000
175.0500,-765.3965,125.5833,441.1808,0.0000,0.0000,0.0000
175.8200,-364.6509,125.5833,320.0910,-404.5167,125.5833,270.9720
175.8200,-364.9360,125.5000,319.7398,0.0000,0.0000,0.0000
178.6200,-364.4125,125.5833,421.7994,-528.8021,125.5833,270.6501
178.6500,-364.8658,125.5000,421.3827,0.0000,0.0000,0.0000
182.2700,-364.9954,125.5000,393.3061,0.0000,0.0000,0.0000
182.2700,-364.5807,125.5833,393.4944,-634.5062,125.5833,270.9085
184.6800,-364.7655,125.5000,517.7875,0.0000,0.0000,0.0000
184.7100,-364.5587,125.5833,517.8265,-513.3652,125.5833,270.9706
197.7800,-468.8103,125.5000,271.3317,0.0000,0.0000,0.0000
197.7800,-468.4336,125.5833,271.0639,-364.2462,125.5833,382.5323
200.0000,-364.4782,125.5833,307.5324,-437.8415,125.5833,270.9232
200.0000,-364.8429,125.5000,307.3504,0.0000,0.0000,0.0000
202.9100,-364.8042,125.5000,373.3239,0.0000,0.0000,0.0000
202.9100,-364.4192,125.5833,373.5186,-567.1506,125.5833,270.9767
208.1400,-500.5799,125.5833,271.0880,-364.3512,125.5833,403.5456
209.4400,-455.4425,125.5833,271.1861,-364.2128,125.5833,369.5761
209.8900,-364.4760,125.5833,293.1105,-381.4192,125.5833,270.7011
209.9500,-364.9084,125.5000,292.5387,0.0000,0.0000,0.0000
216.5400,-743.9304,125.5833,271.3313,-548.0815,125.5833,270.8506
216.5400,-743.9304,125.5000,271.3313,0.0000,0.0000,0.0000
217.3600,-364.7487,125.5000,438.4199,0.0000,0.0000,0.0000
217.3600,-364.5641,125.5833,438.5849,-552.3853,125.5833,270.8417
218.0600,-364.9527,125.5000,315.7503,0.0000,0.0000,0.0000
218.0600,-364.5624,125.5833,315.9408,-456.8246,125.5833,270.9088
219.0700,-364.5198,125.5833,427.1001,-524.9003,125.5833,270.8725
219.1000,-364.7348,125.5000,426.8907,0.0000,0.0000,0.0000
219.1900,-499.9078,125.5833,271.0969,-499.3147,125.5833,270.8571
219.2500,-500.5201,125.5000,271.4067,0.0000,0.0000,0.0000
223.6800,-364.4211,125.5833,473.5454,-364.0529,125.5833,455.8612
223.7500,-365.0995,125.5000,473.3744,0.0000,0.0000,0.0000
224.3600,-364.5800,125.5833,325.9605,-479.0839,125.5833,270.8754
224.3600,-364.8787,125.5000,325.8169,0.0000,0.0000,0.0000
224.5600,-364.4098,125.5833,312.7702,-397.3782,125.5833,270.9366
224.5900,-364.9229,125.5000,312.1191,0.0000,0.0000,0.0000
239.5000,-364.6174,125.5833,417.3028,-364.2339,125.5833,417.2492
239.5300,-364.9159,125.5000,417.2099,0.0000,0.0000,0.0000
244.9500,-765.1589,125.5833,384.4896,0.0000,0.0000,0.0000
250.1300,-364.4049,125.5833,416.5209,-505.3319,125.5833,269.5623
250.1700,-364.9875,125.5000,415.9134,0.0000,0.0000,0.0000
251.0000,-364.5747,125.5833,305.8765,-435.1847,125.5833,270.8479
251.0300,-364.8627,125.5000,305.7336,0.0000,0.0000,0.0000
267.3400,-364.4554,125.5833,334.2652,-468.6520,125.5833,270.9523
267.3400,-364.7543,125.5000,334.0836,0.0000,0.0000,0.0000
268.4800,-590.8516,125.5833,271.2152,-556.3384,125.5833,270.5649
268.5200,-590.6387,125.5000,271.6361,0.0000,0.0000,0.0000
274.3300,-572.9705,125.5833,271.5043,-534.7961,125.5833,270.9912
274.3300,-572.9705,125.5000,271.5043,0.0000,0.0000,0.0000
276.1900,-364.6801,125.5833,592.5834,-364.3744,125.5833,592.5745
276.2700,-365.4241,125.5000,592.2978,0.0000,0.0000,0.0000
277.6200,-765.2441,125.5833,426.1467,-765.4511,125.5833,324.3517
277.7200,-764.8173,125.5000,427.1565,0.0000,0.0000,0.0000
284.2100,-364.4169,125.5833,421.5307,-364.2262,125.5833,421.4574
284.2600,-364.8086,125.5000,421.4113,0.0000,0.0000,0.0000
285.0200,-364.5883,125.5833,409.3112,-765.5628,125.5833,530.5024
285.0200,-364.9185,125.5000,409.4109,0.0000,0.0000,0.0000
287.9200,-364.9106,125.5000,438.9533,0.0000,0.0000,0.0000
287.9200,-364.7340,125.5833,439.0044,-765.9603,125.5833,322.7886
295.3800,-765.3848,125.5833,291.5115,-765.4069,125.5833,276.1118
295.4500,-764.9606,125.5000,292.0684,0.0000,0.0000,0.0000
